uid,domainID,siteID,plotID,trapCoordinate,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,date,eventID,individualID,taxonID,scientificName,taxonRank,identificationQualifier,identificationStatus,sex,reproductiveCondition,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,bloodSampleID,bloodSampleMethod,fecalSampleID,fecalSampleCondition,earSampleID,hairSampleID,whiskerSampleID,voucherSampleID,measuredBy,recordedBy,remarks,consistencyTagIDSexQF,consistencyTagIDTaxonIDQF,consistencyTagIDLifeStageQF,orderTagIDRecaptureQF,orderTagIDLifeStageQF,,
2C50CE59408F4604A9DEA7B16290C567,D01,BART,BART_012,J8,deciduousForest,44.04722,-71.314817,WGS84,,612.5,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0554,TAST,Tamias striatus,species,, ,F,N,N,escaped,,adult,,nonenlarged,not,neither,34,,,,,,,BART.20140628.R0554.F,old,,,,,L2UvsYujt8BdCSqP+eOKcgcPb/VQ+IyW,6SJ325p65hb3UnCLYcVTsvIc8JdpRGee,,0,0,0,-1,0,,
2A5DADA5025245549439F2EECD587E03,D01,BART,BART_012,I10,deciduousForest,44.047038,-71.314935,WGS84,,611.3,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.421299,NAIN,Napaeozapus insignis,species,, ,F,R,N,,,adult,,nonenlarged,pregnant,neither,28,,,,26,BART.20140628.421299.B,mandibular,BART.20140628.421299.F,old,BART.20140628.421299.E,,,,L2UvsYujt8BdCSqP+eOKcgcPb/VQ+IyW,6SJ325p65hb3UnCLYcVTsvIc8JdpRGee,,0,0,0,-1,0,,
282E75B1BA4540F28D56D25A29A9635E,D01,BART,BART_012,J1,deciduousForest,44.04785,-71.314842,WGS84,,619.1,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0555,PELE,Peromyscus leucopus,species,cf. species, ,F,N,N,,,adult,,nonenlarged,not,neither,18,15,91,,19,BART.20140628.R0555.B,unsuccessful,BART.20140628.R0555.F,fresh,BART.20140628.R0555.E,BART.20140628.R0555.H,BART.20140628.R0555.H,,L2UvsYujt8BdCSqP+eOKcgcPb/VQ+IyW,6SJ325p65hb3UnCLYcVTsvIc8JdpRGee,Dispersed into fur,0,0,0,-1,0,,
697CD897DFE744F793B4471D45A94B12,D01,BART,BART_001,I6,mixedForest,44.046796,-71.304613,WGS84,,518.3,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0L0441,PEMA,Peromyscus maniculatus,species,cf. species, ,F,N,N,,,adult,,nonenlarged,not,neither,19,14,87,,20,BART.20140628.L0441.B,mandibular,BART.20140628.L0441.F,old,BART.20140628.L0441.E,BART.20140628.L0441.H,BART.20140628.L0441.H,,ze4KwYTRE77ZeyISZGU0F0Nj8//iQdt6,U3preYdWOJx55TH7MGq0n6opLXzBc8v+,,0,1,0,-1,0,,
46AF6FD063A04FA1A3D44303B933DFE0,D01,BART,BART_001,I9,mixedForest,44.046526,-71.304603,WGS84,,519.2,,6/28/2014,MAM.BART.2014.07,,BLBR,Blarina brevicauda,species,, ,F,N,N,,,adult,,nonenlarged,not,neither,,,,,,,,,,,,,,ze4KwYTRE77ZeyISZGU0F0Nj8//iQdt6,U3preYdWOJx55TH7MGq0n6opLXzBc8v+,,-1,-1,-1,-1,-1,,
0D57ACB585EB4017A7ACEA9B92E6A37E,D01,BART,BART_012,F4,deciduousForest,44.04757,-71.31533,WGS84,,618.9,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0445,PEMA,Peromyscus maniculatus,species,cf. species, ,F,N,N,,,subadult,,nonenlarged,not,neither,21,11,72,,15,BART.20140628.R0445.B,mandibular,BART.20140628.R0445.F,fresh,BART.20140628.R0445.E,BART.20140628.R0445.H,BART.20140628.R0445.H,,U3preYdWOJx55TH7MGq0n6opLXzBc8v+,ze4KwYTRE77ZeyISZGU0F0Nj8//iQdt6,,0,0,0,-1,0,,
EF4F600ED1964DEDA768E90EDC522BEA,D01,BART,BART_012,E1,deciduousForest,44.047837,-71.315465,WGS84,,622.7,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0571,PEMA,Peromyscus maniculatus,species,cf. species, ,F,N,N,,,juvenile,,nonenlarged,not,neither,17,14,78,,13,BART.20140628.R0571.B,mandibular,BART.20140628.R0571.F,old,BART.20140628.R0571.E,BART.20140628.R0571.H,BART.20140628.R0571.H,,L2UvsYujt8BdCSqP+eOKcgcPb/VQ+IyW,6SJ325p65hb3UnCLYcVTsvIc8JdpRGee,,0,0,0,-1,0,,
99AFFBE3DE424308B426FF568171DE4B,D01,BART,BART_012,F7,deciduousForest,44.0473,-71.31532,WGS84,,615.9,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0482,PELE,Peromyscus leucopus,species,cf. species, ,F,N,N,,,adult,,nonenlarged,not,neither,20,11,75,,13,BART.20140628.R0482.B,mandibular,BART.20140628.R0482.F,fresh,BART.20140628.R0482.E,BART.20140628.R0482.H,BART.20140628.R0482.H,,U3preYdWOJx55TH7MGq0n6opLXzBc8v+,ze4KwYTRE77ZeyISZGU0F0Nj8//iQdt6,,0,0,1,-1,1,,
7D5C277ACAED44FEB8BA04C6A661612A,D01,BART,BART_012,F8,deciduousForest,44.04721,-71.315316,WGS84,,615,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0447,PEMA,Peromyscus maniculatus,species,, ,M,N,N,,,adult,nonscrotal,,,,20,13,81,,14,BART.20140628.R0447.B,unsuccessful,BART.20140628.R0447.F,fresh,BART.20140628.R0447.E,BART.20140628.R0447.H,BART.20140628.R0447.H,,U3preYdWOJx55TH7MGq0n6opLXzBc8v+,ze4KwYTRE77ZeyISZGU0F0Nj8//iQdt6,,0,0,1,-1,1,,
3F63E8C7E242481A879C4421FA71AC0A,D01,BART,BART_012,H1,deciduousForest,44.047845,-71.315091,WGS84,,620.6,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0485,PEMA,Peromyscus maniculatus,species,, ,M,N,N,,,subadult,nonscrotal,,,,21,13,88,,15,BART.20140628.R0485.B,mandibular,BART.20140628.R0485.F,fresh,BART.20140628.R0485.E,BART.20140628.R0485.H,BART.20140628.R0485.H,,U3preYdWOJx55TH7MGq0n6opLXzBc8v+,ze4KwYTRE77ZeyISZGU0F0Nj8//iQdt6,,0,0,1,-1,1,,
A962D1E3AAC5453EA860F4EF833614F1,D01,BART,BART_001,F9,mixedForest,44.046519,-71.304977,WGS84,,523.9,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0326,PELE,Peromyscus leucopus,species,cf. species, ,F,N,Y,,,adult,,nonenlarged,not,neither,20,15,90,,16,BART.20140628.R0326.B,mandibular,BART.20140628.R0326.F,old,,BART.20140628.R0326.H,BART.20140628.R0326.H,,ze4KwYTRE77ZeyISZGU0F0Nj8//iQdt6,U3preYdWOJx55TH7MGq0n6opLXzBc8v+,,0,1,0,-1,0,,
DFDED96C4F1B4B2B95C82D0D23A190F6,D01,BART,BART_012,F9,deciduousForest,44.04712,-71.315313,WGS84,,614,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.421265,NAIN,Napaeozapus insignis,species,, ,F,N,N,,,adult,,nonenlarged,not,neither,31,,,,25,BART.20140628.421265.B,mandibular,BART.20140628.421265.F,old,BART.20140628.421265.E,,,,U3preYdWOJx55TH7MGq0n6opLXzBc8v+,ze4KwYTRE77ZeyISZGU0F0Nj8//iQdt6,,0,0,0,-1,0,,
E623D24D807F4CD894D06ACFA14B1686,D01,BART,BART_012,D6,deciduousForest,44.047385,-71.315573,WGS84,,618.1,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0572,PELE,Peromyscus leucopus,species,cf. species, ,M,N,N,,,adult,nonscrotal,,,,19,15,80,,15,BART.20140628.R0572.B,mandibular,BART.20140628.R0572.F,fresh,BART.20140628.R0572.E,BART.20140628.R0572.H,BART.20140628.R0572.H,,L2UvsYujt8BdCSqP+eOKcgcPb/VQ+IyW,6SJ325p65hb3UnCLYcVTsvIc8JdpRGee,,0,1,1,-1,1,,
0206D2D853D44444ADE379DD229014A6,D01,BART,BART_012,F1,deciduousForest,44.04784,-71.315341,WGS84,,622,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0483,PEMA,Peromyscus maniculatus,species,, ,M,N,N,,,subadult,nonscrotal,,,,20,11,79,,14,BART.20140628.R0483.B,mandibular,BART.20140628.R0483.F,fresh,BART.20140628.R0483.E,BART.20140628.R0483.H,BART.20140628.R0483.H,,U3preYdWOJx55TH7MGq0n6opLXzBc8v+,ze4KwYTRE77ZeyISZGU0F0Nj8//iQdt6,,0,0,0,-1,0,,
36F0A1D3EEAB494D90CF5F0612C7E206,D01,BART,BART_012,E7,deciduousForest,44.047298,-71.315444,WGS84,,616.6,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0444,PEMA,Peromyscus maniculatus,species,cf. species, ,F,N,N,,,adult,,nonenlarged,not,neither,21,15,90,,18,BART.20140628.R0444.B,mandibular,BART.20140628.R0444.F,fresh,BART.20140628.R0444.E,BART.20140628.R0444.H,BART.20140628.R0444.H,,U3preYdWOJx55TH7MGq0n6opLXzBc8v+,ze4KwYTRE77ZeyISZGU0F0Nj8//iQdt6,,0,1,0,-1,0,,
4880BE5797EE47BEA4825A19D1B8B656,D01,BART,BART_012,B4,deciduousForest,44.04756,-71.315829,WGS84,,621.4,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0553,PELE,Peromyscus leucopus,species,cf. species, ,M,N,N,,,subadult,nonscrotal,,,,19,15,77,,15,BART.20140628.R0553.B,unsuccessful,BART.20140628.R0553.F,fresh,BART.20140628.R0553.E,BART.20140628.R0553.H,BART.20140628.R0553.H,,L2UvsYujt8BdCSqP+eOKcgcPb/VQ+IyW,6SJ325p65hb3UnCLYcVTsvIc8JdpRGee,,0,0,1,-1,1,,
17D5F5F8578448ABB4978377A6E2D5BD,D01,BART,BART_001,F8,mixedForest,44.046609,-71.304981,WGS84,,523.6,,6/28/2014,MAM.BART.2014.07,,PEMA,Peromyscus maniculatus,species,cf. species, ,U,N,N,escaped,,,,,not,,,,,,,,,,,,,,,ze4KwYTRE77ZeyISZGU0F0Nj8//iQdt6,U3preYdWOJx55TH7MGq0n6opLXzBc8v+,,-1,-1,-1,-1,-1,,
A29FEE39D27E47E194EE0F154DB4B392,D01,BART,BART_012,B7,deciduousForest,44.04729,-71.315819,WGS84,,618.3,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.421319,NAIN,Napaeozapus insignis,species,, ,F,N,N,,,adult,,nonenlarged,not,neither,30,,,,27,BART.20140628.421319.B,mandibular,BART.20140628.421319.F,old,BART.20140628.421319.E,,,,L2UvsYujt8BdCSqP+eOKcgcPb/VQ+IyW,6SJ325p65hb3UnCLYcVTsvIc8JdpRGee,,0,0,0,-1,0,,
60394A67E2DB4D2391CF2E8C697420A2,D01,BART,BART_012,C5,deciduousForest,44.047473,-71.315701,WGS84,,619.8,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0575,PEMA,Peromyscus maniculatus,species,cf. species, ,M,N,N,,,subadult,nonscrotal,,,,17,14,87,,16,BART.20140628.R0575.B,mandibular,BART.20140628.R0575.F,fresh,BART.20140628.R0575.E,BART.20140628.R0575.H,BART.20140628.R0575.H,,L2UvsYujt8BdCSqP+eOKcgcPb/VQ+IyW,6SJ325p65hb3UnCLYcVTsvIc8JdpRGee,Blood sample dispersed into fur,0,1,0,-1,0,,
9CA43D8BAED44899B34153835DA557FF,D01,BART,BART_001,B2,mixedForest,44.047139,-71.3055,WGS84,,528.5,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0442,PEMA,Peromyscus maniculatus,species,cf. species, ,F,N,N,,,adult,,nonenlarged,not,neither,20,15,95,,20,BART.20140628.R0442.B,mandibular,BART.20140628.R0442.F,fresh,BART.20140628.R0442.E,BART.20140628.R0442.H,BART.20140628.R0442.H,,ze4KwYTRE77ZeyISZGU0F0Nj8//iQdt6,U3preYdWOJx55TH7MGq0n6opLXzBc8v+,,0,1,0,-1,0,,
D76B3A0B7E9B4C1CB123565682857A18,D01,BART,BART_012,A4,deciduousForest,44.047557,-71.315954,WGS84,,622,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0551,PELE,Peromyscus leucopus,species,, ,F,R,N,,,adult,,,pregnant,,20,16,78,,34,BART.20140628.R0551.B,unsuccessful,BART.20140628.R0551.F,old,BART.20140628.R0551.E,BART.20140628.R0551.H,BART.20140628.R0551.H,,L2UvsYujt8BdCSqP+eOKcgcPb/VQ+IyW,6SJ325p65hb3UnCLYcVTsvIc8JdpRGee,,0,0,0,-1,0,,
1F1C365AEE7F4DEA8707AE7144D8A2EF,D01,BART,BART_001,C3,mixedForest,44.047051,-71.305372,WGS84,,527.1,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0437,PEMA,Peromyscus maniculatus,species,cf. species, ,M,N,N,,,adult,nonscrotal,,,,20,16,79,,13,BART.20140628.R0437.B,mandibular,BART.20140628.R0437.F,old,BART.20140628.R0437.E,BART.20140628.R0437.H,BART.20140628.R0437.H,,ze4KwYTRE77ZeyISZGU0F0Nj8//iQdt6,U3preYdWOJx55TH7MGq0n6opLXzBc8v+,,0,1,1,-1,1,,
2F5376EA8A914C929038901507389330,D01,BART,BART_001,E10,mixedForest,44.046426,-71.305098,WGS84,,525.7,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0440,PEMA,Peromyscus maniculatus,species,cf. species, ,F,N,N,,,adult,,nonenlarged,not,neither,20,17,87,,17,BART.20140628.R0440.B,mandibular,BART.20140628.R0440.F,fresh,BART.20140628.R0440.E,BART.20140628.R0440.H,BART.20140628.R0440.H,,ze4KwYTRE77ZeyISZGU0F0Nj8//iQdt6,U3preYdWOJx55TH7MGq0n6opLXzBc8v+,,0,0,0,-1,0,,
4FB5CF2D9D3944F2864967F04B76FF0B,D01,BART,BART_001,A8,mixedForest,44.046596,-71.305604,WGS84,,531.1,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0L0438,PEMA,Peromyscus maniculatus,species,cf. species, ,M,N,N,,,adult,nonscrotal,,,,19,16,86,,18,BART.20140628.L0438.B,mandibular,BART.20140628.L0438.F,old,BART.20140628.L0438.E,BART.20140628.L0438.H,BART.20140628.L0438.H,,ze4KwYTRE77ZeyISZGU0F0Nj8//iQdt6,U3preYdWOJx55TH7MGq0n6opLXzBc8v+,,0,0,0,-1,0,,
79F4C438BB7744D094B11923FD56517E,D01,BART,BART_012,C10,deciduousForest,44.047023,-71.315683,WGS84,,614.7,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0573,PEMA,Peromyscus maniculatus,species,cf. species, ,F,N,N,,,adult,,nonenlarged,not,neither,19,14,90,,19,BART.20140628.R0573.B,mandibular,BART.20140628.R0573.F,old,BART.20140628.R0573.E,BART.20140628.R0573.H,BART.20140628.R0573.H,,L2UvsYujt8BdCSqP+eOKcgcPb/VQ+IyW,6SJ325p65hb3UnCLYcVTsvIc8JdpRGee,,0,0,0,-1,0,,
C3FE55A0130E4CFEB7F135D7E24805B5,D01,BART,BART_012,C1,deciduousForest,44.047832,-71.315715,WGS84,,624,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0574,TAST,Tamias striatus,species,, ,M,R,N,,,adult,scrotal,,,,35,,,,103,,,BART.20140628.R0574.F,old,BART.20140628.R0574.E,,,,L2UvsYujt8BdCSqP+eOKcgcPb/VQ+IyW,6SJ325p65hb3UnCLYcVTsvIc8JdpRGee,,0,0,0,-1,0,,
1EB1AD8430AF4981854E182EB82ACE04,D01,BART,BART_012,C4,deciduousForest,44.047563,-71.315704,WGS84,,620.8,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0552,TAST,Tamias striatus,species,, ,F,N,N,,,adult,,nonenlarged,not,neither,30,,,,69,,,BART.20140628.R0552.F,old,BART.20140628.R0552.E,,,,L2UvsYujt8BdCSqP+eOKcgcPb/VQ+IyW,6SJ325p65hb3UnCLYcVTsvIc8JdpRGee,,-1,0,0,-1,0,,
164446628B3E4CCC854DC8A807FCFE67,D01,BART,BART_012,C9,deciduousForest,44.047113,-71.315687,WGS84,,615.7,,6/28/2014,MAM.BART.2014.07,,OTHE,Mammalia sp.,class,, ,,N,N,escaped,,,,,not,,,,,,,,,,,,,,,L2UvsYujt8BdCSqP+eOKcgcPb/VQ+IyW,6SJ325p65hb3UnCLYcVTsvIc8JdpRGee,,-1,-1,-1,-1,-1,,
EE8E9E0EBAB14EB59C70CE983F3EA4A0,D01,BART,BART_001,C6,mixedForest,44.046781,-71.305362,WGS84,,527.7,,6/28/2014,MAM.BART.2014.07,,BLBR,Blarina brevicauda,species,, ,M,R,N,,,adult,scrotal,,,,,,,,,,,,,,,,,ze4KwYTRE77ZeyISZGU0F0Nj8//iQdt6,U3preYdWOJx55TH7MGq0n6opLXzBc8v+,,-1,-1,-1,-1,-1,,
F56CA03F2E474879B55FFB7B48A00D2A,D01,BART,BART_001,D7,mixedForest,44.046694,-71.305234,WGS84,,526.4,,6/28/2014,MAM.BART.2014.07,,BLBR,Blarina brevicauda,species,, ,F,N,N,,,adult,,nonenlarged,not,neither,,,,,,,,,,,,,,ze4KwYTRE77ZeyISZGU0F0Nj8//iQdt6,U3preYdWOJx55TH7MGq0n6opLXzBc8v+,,-1,-1,-1,-1,-1,,
12B37BDFEEA54B19B7208D104B178B12,D01,BART,BART_012,G10,deciduousForest,44.047033,-71.315184,WGS84,,612.5,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0567,PEMA,Peromyscus maniculatus,species,cf. species, ,M,N,N,,,subadult,nonscrotal,,,,20,14,80,,17,BART.20140628.R0567.B,mandibular,BART.20140628.R0567.F,fresh,BART.20140628.R0567.E,BART.20140628.R0567.H,BART.20140628.R0567.H,,L2UvsYujt8BdCSqP+eOKcgcPb/VQ+IyW,6SJ325p65hb3UnCLYcVTsvIc8JdpRGee,flash only,0,0,0,-1,0,,
DF19EA01AA674CA89D54599F768C423E,D01,BART,BART_012,H3,deciduousForest,44.047665,-71.315084,WGS84,,618.6,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0182,PEMA,Peromyscus maniculatus,species,cf. species, ,M,N,Y,,,adult,nonscrotal,,,,18,16,82,,23,BART.20140628.R0182.B,mandibular,BART.20140628.R0182.F,fresh,,BART.20140628.R0182.H,BART.20140628.R0182.H,,L2UvsYujt8BdCSqP+eOKcgcPb/VQ+IyW,6SJ325p65hb3UnCLYcVTsvIc8JdpRGee,,0,0,0,-1,0,,
C9949636DBF9409D873093EE4C07ACB4,D01,BART,BART_001,H4,mixedForest,44.046974,-71.304745,WGS84,,519.3,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0136,PELE,Peromyscus leucopus,species,cf. species, ,M,N,Y,,,adult,nonscrotal,,,,20,17,87,,18,BART.20140628.R0136.B,mandibular,BART.20140628.R0136.F,fresh,,BART.20140628.R0136.H,BART.20140628.R0136.H,,ze4KwYTRE77ZeyISZGU0F0Nj8//iQdt6,U3preYdWOJx55TH7MGq0n6opLXzBc8v+,,0,1,0,-1,0,,
05AFD2AB58C048CE8982C2A64D032D9F,D01,BART,BART_012,E8,deciduousForest,44.047208,-71.315441,WGS84,,615.6,,6/29/2014,MAM.BART.2014.07,NEON.MAM.D01.O012E8,BLBR,Blarina brevicauda,species,, ,F,R,N,dead,,adult,,enlarged,not,neither,,,,,,,,,,,,,BART.20140629.O012E8.V,6SJ325p65hb3UnCLYcVTsvIc8JdpRGee,L2UvsYujt8BdCSqP+eOKcgcPb/VQ+IyW,collected for archive,0,0,0,-1,0,,
E41730FA9499449CB2785BCF258B2DAD,D01,BART,BART_001,C8,mixedForest,44.046601,-71.305355,WGS84,,528.2,,6/29/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0438,PELE,Peromyscus leucopus,species,cf. species, ,M,N,Y,,,adult,nonscrotal,,,,20,16,86,,18,,,BART.20140629.R0438.F,fresh,,,,,U3preYdWOJx55TH7MGq0n6opLXzBc8v+,ze4KwYTRE77ZeyISZGU0F0Nj8//iQdt6,,0,0,0,-1,0,,
79D17F2F5239403AA203A741AD667B35,D01,BART,BART_012,H1,deciduousForest,44.047845,-71.315091,WGS84,,620.6,,6/29/2014,MAM.BART.2014.07,NEON.MAM.D01.421323,NAIN,Napaeozapus insignis,species,, ,F,N,N,,,subadult,,nonenlarged,not,neither,28,,,,13,BART.20140629.421323.B,mandibular,BART.20140629.421323.F,old,BART.20140629.421323.E,,,,6SJ325p65hb3UnCLYcVTsvIc8JdpRGee,L2UvsYujt8BdCSqP+eOKcgcPb/VQ+IyW,,0,0,0,-1,0,,
